datetime,Model: PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: VWC,Model: Grass,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,Model: PPFD_Avg+VWC,Model: PPFD_Avg+Grass,Model: PPFD_Avg+AirTC_Avg+Grass,Model: PPFD_Avg+Sedge+Grass,Model: PPFD_Avg+VWC+Grass,Model: PPFD_Avg+AirTC_Avg+Sedge+Grass,Model: PPFD_Avg+AirTC_Avg+VWC+Grass,BestModel: PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass
2016-07-12 13:00:00,-2.3633745,-3.6137977,-1.5212783,-1.6165739,-1.8627701,-1.7977973,-3.6011608,-3.4970734,-3.0650516,-3.4341187,-3.4245567,-3.5481591,-2.977233,-3.2516665,-2.2968817,-2.3635604
2016-07-12 13:30:00,-2.6530814,-4.2301397,-1.5587621,-1.6165771,-1.8627701,-1.9710755,-4.3173423,-4.1775723,-4.3791943,-4.470995,-4.240969,-4.1054153,-4.283577,-3.8884397,-3.2304788,-2.6525981
2016-07-12 14:00:00,-4.1665173,-5.754089,-1.6804146,-1.6166514,-1.8627701,-1.9728723,-5.520594,-5.51121,-6.3018284,-5.858545,-5.457948,-5.448427,-6.171034,-5.2088366,-4.8596706,-4.165402
2016-07-12 14:30:00,-2.8953261,-4.8153925,-1.6785947,-1.6169059,-1.8635021,-1.9898928,-4.7758083,-4.71133,-5.429403,-5.083973,-4.889315,-4.6971374,-5.497674,-4.5482106,-4.3874326,-2.8948503
2016-07-12 15:00:00,-2.7086515,-4.018112,-1.6217211,-1.6165739,-1.8642344,-1.9723262,-4.15432,-3.95823,-3.9284556,-4.190316,-3.9810991,-3.9903083,-3.765259,-3.636904,-2.863928,-2.7081668
2016-07-12 15:30:00,-3.423832,-4.57593,-1.6644901,-1.6165739,-1.8649668,-1.990903,-4.5967054,-4.512898,-5.071602,-4.70334,-4.435023,-4.491326,-4.7702823,-4.1887975,-3.531474,-3.423439
2016-07-12 16:00:00,-4.151132,-4.9264464,-1.7500278,-1.6165739,-1.8656989,-1.7328796,-4.867482,-4.8068013,-5.573798,-4.898463,-4.8011537,-5.0094757,-4.936809,-4.7393227,-4.002725,-4.149548
2016-07-12 16:30:00,-4.7640815,-5.8999643,-1.8150911,-1.6165739,-1.8649668,-1.8407578,-5.6337347,-5.640251,-6.403716,-5.726368,-5.5692053,-5.684434,-5.7454233,-5.4050794,-4.765577,-4.761924
2016-07-12 17:00:00,-4.394353,-5.5821986,-1.9127833,-1.6165788,-1.8642344,-1.9906315,-5.394654,-5.3595605,-6.163913,-5.564534,-5.247151,-5.307588,-5.7022386,-5.039453,-4.6945524,-4.392178
2016-07-12 17:30:00,-4.0179486,-5.6556206,-1.9091992,-1.6165762,-1.8642344,-1.9814084,-5.451211,-5.424049,-6.220088,-5.808493,-5.505884,-5.373803,-6.3048873,-5.1004467,-5.1004496,-4.0168204
2016-07-12 18:00:00,-4.7471776,-6.090714,-2.0588336,-1.6167871,-1.8642344,-1.983471,-5.812803,-5.809127,-6.5526767,-6.052381,-5.6649904,-5.731475,-6.173651,-5.4186316,-5.2348833,-4.7449274
2016-07-12 18:30:00,-4.5895476,-5.4941664,-2.1324437,-1.6165739,-1.8642344,-1.8563198,-5.360212,-5.286473,-6.096559,-5.373194,-5.2181964,-5.3682065,-5.426991,-5.126086,-4.6677313,-4.5879
2016-07-12 19:00:00,-3.850967,-4.2825356,-1.9943205,-1.6165739,-1.8642344,-1.6350352,-4.4177637,-4.229773,-4.497995,-4.399372,-4.158705,-4.3764973,-4.1859884,-4.080453,-3.5378187,-3.849961
2016-07-12 19:30:00,-2.2928393,-4.0210605,-2.0095527,-1.6165739,-1.8620378,-1.9786692,-4.134076,-3.9615629,-3.92958,-4.1990986,-4.006268,-3.9688034,-3.9434385,-3.4140782,-3.410694,-2.2923837
